Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/rechargeable/li-ion/keeppower-14650-1100mah-protected-3a.html,Keeppower,P1465C,TBA,4.95,950,3.42,3.00,15,28,3.00,74.25,0.05,Li-ion,3.6,In stock,1447.37,Buy 200 times for,3.95,115.81,59.25,1154.97
https://eu.nkon.nl/nitecore-18650-nl1834-3400mah-protected-4a.html,Nitecore,NL1834,18650,15.95,3350,12.06,4.00,15,46,"3,350.00",239.25,0.17,Li-ion,3.6,In stock,1322.55,Buy 60 times for,13.95,248.58,209.25,1156.72
https://eu.nkon.nl/rechargeable/li-ion/eagletac-17650.html,EagleTac,17650,TBA,6.75,1550,5.58,3.00,15,37,3.00,101.25,0.08,Li-ion,3.6,In stock,1209.68,No offers,6.75,142.99,101.25,1209.68
https://eu.nkon.nl/rechargeable/li-ion/kp-18350-900.html,Keeppower,P1835C,TBA,3.95,850,3.06,4.30,15,26,850.00,59.25,0.04,Li-ion,3.6,In stock,1290.85,No offers,3.95,111.59,59.25,1290.85
https://eu.nkon.nl/rechargeable/li-ion/keeppower-imr-18350-1200mah-10a-2900.html,Keeppower,UH1835P,TBA,5.75,1100,3.96,10.00,15,25,"1,100.00",86.25,0.06,Li-ion,3.6,In stock,1452.02,Buy 100 times for,5.25,150.19,78.75,1325.76
https://eu.nkon.nl/nitecore-18650-nl1835r-usb-3500mah-4a.html,Nitecore,NL1835R,18650,16.95,3450,12.420000000000002,5.00,15,50,"3,450.00",254.25,0.18,Li-ion,3.6,In stock,1364.73,No offers,16.95,235.52,254.25,1364.73
https://eu.nkon.nl/olight-21700-5000mah-accu-voor-seeker-2-pro.html,Olight,ORB-217C50,21700,24.95,4950,17.82,15.00,15,82,"4,950.00",374.25,0.25,Li-ion,3.6,In stock,1400.11,No offers,24.95,206.05,374.25,1400.11
https://eu.nkon.nl/rechargeable/li-ion/enerpower-18350-imr-limn-700mah-flat-top-battery.html,Enercig,TN18350HP,TBA,3.45,650,2.34,14.00,15,23,650.00,51.75,0.03,Li-ion,3.6,In stock,1474.36,No offers,3.45,96.46,51.75,1474.36
https://eu.nkon.nl/nitecore-18650-nl1835hp-3500mah-8a.html,Nitecore,NL1835HP,18650,20.95,3450,12.420000000000002,8.00,15,50,"3,450.00",314.25,0.18,Li-ion,3.6,In stock,1686.8,Buy 100 times for,18.45,235.52,276.75,1485.51
https://eu.nkon.nl/2x-keeppower-18650-3200mah-protected-8a-usb.html,Keeppower,P1832U,18650,16.95,3150,11.34,8.00,15,60,"3,150.00",254.25,0.16,Li-ion,3.6,In stock,1494.71,No offers,16.95,179.2,254.25,1494.71
