Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
Samsung,48,2.85,10 @ 2.75  100 @ 2.65  400 @ 2.63  600 @ 2.58 ,227513.23,4,3.6V,Typ. capacity - mAh,3150,3000,Li-ion,18650,notFound,€227.51
Samsung,46,2.99,10 @ 2.95  20 @ 2.85  50 @ 2.75  100 @ 2.65  200 @ 2.55 ,236111.11,5,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,"Reclaimed, Flat top",€236.11
EVE,1395,37.99,No Bulk price,237437.5,0,3.2V,Capacity - Ah,50,Not found,LIFEPO4,no Size,notFound,€237.44
Sinowatt,49,3.25,30 @ 3.20  100 @ 3.00  200 @ 2.85  600 @ 2.65 ,245370.37,4,3.6V,Typ. capacity - mAh,3000,2900,Li-ion,18650,Flat top,€245.37
Tenpower,47,2.85,10 @ 2.61  100 @ 2.51  200 @ 2.41  400 @ 2.31  600 @ 2.21 ,245555.56,5,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,18650,Flat top,€245.56
Samsung,48,3.85,30 @ 3.25  100 @ 3.05  200 @ 3.00  400 @ 2.90  600 @ 2.85 ,247395.83,5,3.6V,Typ. capacity - mAh,3200,3100,Li-ion,18650,Flat top,€247.40
Panasonic,49,3.55,10 @ 3.20  30 @ 3.10  180 @ 2.95  540 @ 2.85 ,248951.78,4,3.6V,Typ. capacity - mAh,3180,3030,Li-ion,18650,Flat top,€248.95
Samsung,46,2.85,10 @ 2.75  100 @ 2.69 ,249074.07,2,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,Flat top,€249.07
Sanyo,60,3.55,10 @ 3.45  50 @ 3.35  100 @ 3.25 ,249386.13,3,3.6V,Typ. capacity - mAh,3620,3500,Li-ion,20700,Flat top,€249.39
Samsung,44,2.79,10 @ 2.66  40 @ 2.59  100 @ 2.49  200 @ 2.41  600 @ 2.34 ,250000,5,3.6V,Typ. capacity - mAh,2600,2550,Li-ion,18650,Flat top,€250.00
Samsung,49,3.95,50 @ 3.75  100 @ 3.50  200 @ 3.30  600 @ 3.15 ,257352.94,4,3.6V,Typ. capacity - mAh,3400,3350,Li-ion,18650,Flat top,€257.35
Sanyo,48,4.35,30 @ 3.40  165 @ 3.30  495 @ 3.15 ,261194.03,3,3.6V,Typ. capacity - mAh,3350,3300,Li-ion,18650,Flat top,€261.19
BAK,47,2.89,30 @ 2.70  100 @ 2.61  200 @ 2.50  600 @ 2.40 ,266666.67,4,3.6V,Typ. capacity - mAh,2500,2400,Li-ion,18650,Flat top,€266.67
Panasonic,46,3.25,30 @ 3.09  60 @ 2.99  180 @ 2.89  540 @ 2.79 ,267241.38,4,3.6V,Typ. capacity - mAh,2900,2850,Li-ion,18650,Flat top,€267.24
**,43,3.75,100 @ 3.53  200 @ 3.43  600 @ 3.33 ,276119.4,3,3.6V,Typ. capacity - mAh,3350,3250,Li-ion,18650,Flat top,€276.12
**,49,3.99,10 @ 3.85  100 @ 3.70  200 @ 3.59  600 @ 3.45 ,277777.78,4,3.6V,Typ. capacity - mAh,3450,3400,Li-ion,18650,Flat top,€277.78
Samsung,46,3.79,10 @ 3.64  50 @ 3.54  100 @ 3.44  200 @ 3.19  600 @ 3.09 ,286111.11,5,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,Flat top,€286.11
EVE,628,21.95,4 @ 21.25  8 @ 20.75 ,294744.32,2,3.2V,Capacity - Ah,22,Not found,LIFEPO4,no Size,notFound,€294.74
Sanyo,48,4.25,30 @ 4.03  180 @ 3.93  540 @ 3.78 ,304347.83,3,3.6V,Typ. capacity - mAh,3450,3350,Li-ion,18650,Flat top,€304.35
Samsung,43,2.75,10 @ 2.59  100 @ 2.49  200 @ 2.39  600 @ 2.30 ,319444.44,4,3.6V,Typ. capacity - mAh,2000,1950,Li-ion,18650,notFound,€319.44
**,73,6.79,10 @ 6.75  20 @ 6.55  50 @ 6.45 ,321663.67,3,3.6V,Typ. capacity - mAh,5570,5520,Li-ion,21700,Flat top,€321.66
**,73,7.05,10 @ 6.65  20 @ 6.55  50 @ 6.45 ,321663.67,3,3.6V,Typ. capacity - mAh,5570,5520,Li-ion,21700,Flat top,€321.66
Sony,46,2.99,10 @ 2.75  50 @ 2.85  300 @ 2.65  600 @ 2.45 ,324074.07,4,3.6V,Typ. capacity - mAh,2100,2000,Li-ion,18650,Flat top,€324.07
JGNE,85,3.95,30 @ 3.75  100 @ 3.55  200 @ 3.35  600 @ 3.15 ,328125,4,3.2V,Typ. capacity - mAh,3000,2900,LIFEPO4,26650,Flat top,€328.13
**,46,4.45,10 @ 4.15  100 @ 3.95  200 @ 3.75  600 @ 3.60 ,333333.33,4,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,Flat top,€333.33
Sony / Murata,46,3.55,10 @ 3.45  50 @ 3.35  300 @ 3.25  600 @ 3.15 ,336538.46,4,3.6V,Typ. capacity - mAh,2600,2500,Li-ion,18650,Flat top,€336.54
**,46,3.95,50 @ 3.35  100 @ 3.30  200 @ 3.20  600 @ 3.10 ,344444.44,4,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,18650,Flat top,€344.44
Sanyo,49,5.95,10 @ 5.55  180 @ 4.55  360 @ 4.29 ,345410.63,3,3.6V,Typ. capacity - mAh,3450,3350,Li-ion,18650,Button top,€345.41
Samsung,69,4.15,130 @ 4.05  260 @ 3.95  390 @ 3.85 ,356481.48,3,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,21700,Flat top,€356.48
Sony,46,3.65,10 @ 3.60  50 @ 3.55  100 @ 3.45  300 @ 3.40  600 @ 3.35 ,357905.98,5,3.6V,Typ. capacity - mAh,2600,2500,Li-ion,18650,Flat top,€357.91
Keeppower,102,7.5,No Bulk price,365497.08,0,3.6V,Typ. capacity - mAh,5700,5500,Li-ion,27700,Flat top,€365.50
Sony / Murata,48,5.45,10 @ 5.25  50 @ 4.95  100 @ 4.65  200 @ 4.45  600 @ 4.35 ,387286.32,5,3.6V,Typ. capacity - mAh,3120,3000,Li-ion,18650,Flat top,€387.29
Sony / Murata,73,6.55,10 @ 6.35  50 @ 6.15  100 @ 5.95  200 @ 5.75 ,389566.4,4,3.6V,Typ. capacity - mAh,4100,4000,Li-ion,21700,Flat top,€389.57
Sony,48,4.25,10 @ 3.95  100 @ 3.85  300 @ 3.75  600 @ 3.65 ,389957.26,4,3.6V,Typ. capacity - mAh,2600,2500,Li-ion,18650,Flat top,€389.96
Panasonic,46,5.15,30 @ 5.05  180 @ 4.95  540 @ 4.79 ,397180.76,3,3.6V,Typ. capacity - mAh,3350,3250,Li-ion,18650,Flat top,€397.18
Samsung,45,4.39,10 @ 4.29  40 @ 4.24  100 @ 4.19  200 @ 4.14  600 @ 4.09 ,398635.48,5,3.6V,Typ. capacity - mAh,2850,2750,Li-ion,18650,Flat top,€398.64
Molicel,46,4.99,10 @ 4.75  100 @ 4.35  200 @ 4.05  600 @ 3.95 ,406378.6,4,3.6V,Typ. capacity - mAh,2700,2800,Li-ion,18650,Flat top,€406.38
Molicel,45,4.6,10 @ 4.25  100 @ 4.05  200 @ 3.95  600 @ 3.85 ,411324.79,4,3.6V,Typ. capacity - mAh,2600,2500,Li-ion,18650,Flat top,€411.32
**,45,5.45,10 @ 4.99  50 @ 4.79  100 @ 4.69  200 @ 4.59  600 @ 4.49 ,415740.74,5,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,Flat top,€415.74
Xtar,48,4.45,10 @ 3.95  20 @ 3.75 ,473484.85,2,3.6V,Typ. capacity - mAh,2200,2180,Li-ion,18650,Button top,€473.48
Sanyo,50,5.95,No Bulk price,479066.02,0,3.6V,Typ. capacity - mAh,3450,3350,Li-ion,18650,Button top,€479.07
Samsung,45,4.4,No Bulk price,488888.89,0,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,18650,Flat top,€488.89
**,49,6.45,10 @ 6.25 ,496031.75,1,3.6V,Typ. capacity - mAh,3500,3400,Li-ion,18650,Button top,€496.03
Keeppower,30,6.55,10 @ 6.25  100 @ 5.95  200 @ 5.80 ,503472.22,3,3.6V,Typ. capacity - mAh,3200,3150,Li-ion,18650,Button top,€503.47
Molicel,72,7.49,No Bulk price,520138.89,0,3.6V,Typ. capacity - mAh,4000,3950,Li-ion,21700,Button top,€520.14
Samsung,42,3.45,40 @ 3.15  100 @ 2.95  200 @ 2.90  600 @ 2.85 ,527777.78,4,3.6V,Typ. capacity - mAh,1500,1450,Li-ion,18650,Flat top,€527.78
Yinlong,1250,54.95,8 @ 49.95 ,542934.78,1,2.3V,Capacity - Ah,40,Not found,LTO,no Size,notFound,€542.93
JGNE,40,2.25,10 @ 2.20  100 @ 2.15  200 @ 2.05  600 @ 1.95 ,553977.27,4,3.2V,Typ. capacity - mAh,1100,1050,LIFEPO4,18650,Flat top,€553.98
Sony,47,4.75,10 @ 4.45  50 @ 4.25 ,562169.31,2,3.6V,Typ. capacity - mAh,2100,2000,Li-ion,18650,Button top,€562.17
Samsung,44,4.75,20 @ 4.45 ,574935.4,1,3.6V,Typ. capacity - mAh,2150,2050,Li-ion,18650,Flat top,€574.94
**,44,3.65,10 @ 3.45  100 @ 3.30 ,611111.11,2,3.6V,Typ. capacity - mAh,1500,1400,Li-ion,18650,Flat top,€611.11
Sony,48,6.95,No Bulk price,618767.81,0,3.6V,Typ. capacity - mAh,3120,3000,Li-ion,18650,Button top,€618.77
Xtar,51,7.95,10 @ 7.45  20 @ 7.25 ,619658.12,2,3.6V,Typ. capacity - mAh,3250,3300,Li-ion,18650,Button top,€619.66
Samsung,47,6.95,10 @ 6.75 ,625000,1,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,18650,Button top,€625.00
Sony,47,5.95,No Bulk price,635683.76,0,3.6V,Typ. capacity - mAh,2600,2500,Li-ion,18650,Button top,€635.68
Molicel,51,5.95,No Bulk price,661111.11,0,3.6V,Typ. capacity - mAh,2500,2600,Li-ion,18650,Button top,€661.11
Xtar,47,6.95,10 @ 6.75  20 @ 6.45 ,689102.56,2,3.6V,Typ. capacity - mAh,2600,2550,Li-ion,18650,Button top,€689.10
Samsung,48,6.95,10 @ 6.45 ,716666.67,1,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,18650,Button top,€716.67
