Brand,Model,Capacity - mAh:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Lishen,LR1865LA,1900.0,"1,900.00",23.099999999999998,0.091199999999999,_Unknown,€1.65,3.6,In stock,241.2280701754386,,€1.39,203.21637426900585
**,INR21700-M50L,4750.0,"4,750.00",33.46,0.228,_Unknown,€2.39,3.6,In stock,139.76608187134505,,€2.39,139.76608187134505
Samsung,INR18650-20R,1950.0,"1,950.00",24.5,0.093599999999999,_Unknown,€1.75,3.6,Out of stock,249.28774928774925,,€1.75,249.28774928774925
Lishen,LR21700SA,3900.0,"3,900.00",32.9,0.187199999999999,_Unknown,€2.35,3.6,In stock,167.37891737891735,Buy 390 times for,€1.99,141.73789173789172
Panasonic,MT920,2.0,2.00,104.0,9.6e-05,_Unknown,€3.25,1.5,In stock,1083333.3333333333,,€3.25,1083333.3333333333
Panasonic,ML1220,17.0,12.50,34.86,0.0008160000000000001,_Unknown,€2.49,Li-ion,In stock,40686.274509803916,,€2.49,40686.274509803916
Keeppower,UH1835P,1100.0,"1,100.00",80.5,0.05280000000000001,_Unknown,€5.75,3.6,Out of stock,1452.020202020202,,€5.75,1452.020202020202
Keeppower,P1835C,850.0,850.00,69.3,0.040799999999999004,_Unknown,€4.95,3.6,In stock,1617.6470588235295,,€4.95,1617.6470588235295
Enercig,TN18350HP,650.0,650.00,48.300000000000004,0.031200000000000002,_Unknown,€3.45,3.6,In stock,1474.3589743589746,,€3.45,1474.3589743589746
Keeppower,P1443C,600.0,600.00,59.5,0.028799999999999003,_Unknown,€4.25,3.6,In stock,1967.5925925925926,,€3.45,1597.2222222222224
Unbranded,LIR2450,5.0,5.00,38.5,0.00023999999999900002,_Unknown,€2.75,3.6,Out of stock,152777.77777777778,,€0.85,47222.222222222226
Maxell,ML2032,3.2,3.20,47.2,0.00015360000000000002,_Unknown,€2.95,3,In stock,307291.6666666666,,€2.95,307291.6666666666
Keeppower,P2770C,5500.0,"5,500.00",105.0,0.264,_Unknown,€7.50,3.6,Out of stock,378.78787878787875,,€7.50,378.78787878787875
Vapcell,INR18350,1100.0,"1,100.00",62.300000000000004,0.05280000000000001,_Unknown,€4.45,3.6,Out of stock,1123.7373737373737,,€4.45,1123.7373737373737
EagleTac,17650,1550.0,3.00,94.5,0.07440000000000001,_LIFEPO4,€6.75,3.6,In stock,1209.6774193548385,,€6.75,1209.6774193548385
Panasonic,VL3032-1F2,3.2,3.20,100.0,0.00015360000000000002,_Unknown,€6.25,3,In stock,651041.6666666666,,€6.25,651041.6666666666
Keeppower,P1835C2,1100.0,"1,100.00",94.5,0.05280000000000001,_Unknown,€6.75,3.6,In stock,1704.5454545454545,,€6.75,1704.5454545454545
Keeppower,P1750C,1150.0,2.40,69.3,0.055200000000000006,_Unknown,€4.95,3.6,In stock,1195.6521739130437,,€3.95,954.106280193237
Keeppower,UH1835,700.0,700.00,55.300000000000004,0.033599999999999006,_Unknown,€3.95,3.6,In stock,1567.460317460318,,€3.95,1567.460317460318
Vapcell,INR20650,2900.0,30.00,97.3,0.13920000000000002,_Unknown,€6.95,3.6,Out of stock,665.7088122605364,,€6.95,665.7088122605364
Panasonic,VL2020-WR,2.0,2.00,148.0,9.6e-05,_Unknown,€9.25,3,In stock,1541666.6666666665,,€9.25,1541666.6666666665
Xtar,16340 / 123A,600.0,1.20,73.5,0.028799999999999003,_LIFEPO4,€5.25,3.6,In stock,2430.5555555555557,,€4.45,2060.185185185185
Keeppower,P1665J,2450.0,"2,450.00",122.5,0.11760000000000001,_Unknown,€8.75,3.6,In stock,992.0634920634919,,€8.75,992.0634920634919
Keeppower,P1465C,950.0,3.00,69.3,0.045599999999999,_Unknown,€4.95,3.6,In stock,1447.3684210526317,,€3.95,1154.9707602339183
Samsung,INR18650-32E,3100.0,"3,100.00",34.300000000000004,0.14880000000000002,_Unknown,€2.45,3.6,Out of stock,219.53405017921148,,€2.45,219.53405017921148
EVE,LF304,304000.0,304.00,1739.25,14.592,_Li-ion,€115.95,3.2,Expected shipping date: 6 december 2023 (in 54 days),119.19202302631578,Buy 32 times for,€109.95,113.02425986842104
